domain,attack_vector,threat_actor,malware_family,expected_verdict,risk_score,entropy,consonant_ratio,digit_ratio,subdomain_depth,tld_reputation,mitre_technique,dns_query_type,top_shap_1,top_shap_2,top_shap_3,analyst_summary
isro.gov.in,benign,Sovereign / Critical Space Infra,N/A,ALLOW,0,2.91,1.25,0.0,2,0.0,N/A,A,Tranco Prior Rank (-0.150),Sovereign Whitelist (-0.120),Low Entropy (-0.050),Verified Indian Space Research Organisation mission control domain; instant allowlist bypass.
nic.in,benign,Indian Government Informatics,N/A,ALLOW,0,1.92,1.5,0.0,1,0.0,N/A,A,Gov Informatics (-0.140),Low Length (-0.040),Clean TLD (-0.030),National Informatics Centre; core backbone for Indian digital governance.
cert-in.org.in,benign,National Cyber Response,N/A,ALLOW,0,3.24,1.75,0.0,2,0.0,N/A,A,National CSIRT (-0.150),Verified Certificate (-0.080),Known Authority (-0.050),Indian Computer Emergency Response Team; primary national cybersecurity authority.
drdo.gov.in,benign,Defence R&D Organisation,N/A,ALLOW,0,2.91,2.0,0.0,2,0.0,N/A,A,Defence Allowlist (-0.160),Low Entropy (-0.040),Clean Structure (-0.030),Defence Research and Development Organisation; critical defense research gateway.
digitalindia.gov.in,benign,National Public Services,N/A,ALLOW,0,3.11,1.12,0.0,2,0.0,N/A,A,Tranco Top Gov (-0.110),Natural Word Bigrams (-0.060),Clean TLD (-0.020),Digital India flagship initiative portal; verified public service infrastructure.
uidai.gov.in,benign,National Identity Authority,N/A,ALLOW,0,3.02,0.67,0.0,2,0.0,N/A,A,Sovereign Whitelist (-0.150),Low Label Depth (-0.040),Zero Digit Ratio (-0.030),Unique Identification Authority of India (Aadhaar); high-security sovereign endpoint.
incois.gov.in,benign,Ocean Information Services,N/A,ALLOW,0,2.87,1.2,0.0,2,0.0,N/A,A,Earth Sciences Whitelist (-0.130),Clean Entropy (-0.050),Legitimate SLD (-0.030),Indian National Centre for Ocean Information Services; tsunami warning & marine telemetry.
posoco.in,benign,National Power Grid (Grid Controller),N/A,ALLOW,0,2.64,1.0,0.0,1,0.0,N/A,A,Power Grid Authority (-0.160),Clean Structure (-0.050),Whitelisted ASN (-0.040),Grid Controller of India; real-time national power distribution monitoring.
rbi.org.in,benign,Reserve Bank of India,N/A,ALLOW,0,2.72,1.67,0.0,2,0.0,N/A,A,Central Bank Whitelist (-0.170),High Domain Age (-0.080),Clean TLD (-0.030),Central banking authority of India; sovereign financial infrastructure.
npcindia.gov.in,benign,National Power Corporation,N/A,ALLOW,0,3.14,1.6,0.0,2,0.0,N/A,A,Gov Infrastructure (-0.140),Low Entropy (-0.040),Zero Suspicion (-0.030),National Productivity Council India; public governance infrastructure.
mea.gov.in,benign,Ministry of External Affairs,N/A,ALLOW,0,3.12,1.0,0.0,2,0.0,N/A,A,Diplomatic Whitelist (-0.150),Low Length (-0.050),Clean TLD (-0.030),Ministry of External Affairs India; international diplomatic telemetry network.
iisc.ac.in,benign,Indian Institute of Science,N/A,ALLOW,0,2.45,1.0,0.0,2,0.0,N/A,A,Academic Sovereign Whitelist (-0.140),Low Entropy (-0.050),Zero Anomaly (-0.030),Premier Indian scientific institution; research telemetry network.
iitb.ac.in,benign,IIT Bombay,N/A,ALLOW,0,2.65,1.0,0.0,2,0.0,N/A,A,Academic Whitelist (-0.130),Clean Structure (-0.040),Zero Digits (-0.030),Indian Institute of Technology Bombay; verified academic domain.
iitd.ac.in,benign,IIT Delhi,N/A,ALLOW,0,2.65,1.0,0.0,2,0.0,N/A,A,Academic Whitelist (-0.130),Clean Structure (-0.040),Zero Digits (-0.030),Indian Institute of Technology Delhi; verified academic domain.
iitm.ac.in,benign,IIT Madras,N/A,ALLOW,0,2.65,1.0,0.0,2,0.0,N/A,A,Academic Whitelist (-0.130),Clean Structure (-0.040),Zero Digits (-0.030),Indian Institute of Technology Madras; research network.
aiims.edu,benign,All India Institute of Medical Sciences,N/A,ALLOW,0,2.95,0.6,0.0,1,0.0,N/A,A,Medical Critical Infra (-0.160),Low Entropy (-0.050),Educational TLD (-0.040),Premier medical institute & hospital ICU infrastructure; critical allowlist protection.
docs.cloudflare.com,benign,Cloudflare Infrastructure,N/A,ALLOW,0,3.43,1.83,0.0,2,0.0,N/A,A,Bloom Cache Match (-0.160),Known Authority (-0.070),High Traffic Volume (-0.050),Official enterprise documentation infrastructure; sub-0.1ms Bloom filter bypass.
api.github.com,benign,GitHub / Microsoft,N/A,ALLOW,0,3.52,1.4,0.0,2,0.0,N/A,A,Verified API Host (-0.120),Tranco Top 100 (-0.080),Zero Homoglyphs (-0.040),Developer ecosystem REST/GraphQL API gateway; zero lexical or behavioral risk.
google.com,benign,Google Search & Cloud,N/A,ALLOW,0,2.65,1.25,0.0,1,0.0,N/A,A,Tranco Rank #1 (-0.180),Vowel Balance (-0.050),High Prior Probability (-0.040),Global search and cloud infrastructure; baseline benchmark clean pass.
microsoft.com,benign,Microsoft Corporation,N/A,ALLOW,0,3.03,2.0,0.0,1,0.0,N/A,A,Tranco Top 10 (-0.150),Clean TLD (-0.040),Verified Enterprise (-0.050),Operating system update and enterprise software gateway; whitelist verified.
aws.amazon.com,benign,Amazon Web Services,N/A,ALLOW,2,3.04,1.4,0.0,2,0.0,N/A,A,Cloud Infrastructure (-0.110),Clean Bigrams (-0.040),Reputable TLD (-0.020),Public cloud compute gateway; highly structured corporate naming convention.
wikipedia.org,benign,Wikimedia Foundation,N/A,ALLOW,0,3.33,1.0,0.0,1,0.0,N/A,A,Tranco Top 50 (-0.130),Natural Language Dictionary (-0.070),Zero Digits (-0.030),Global public encyclopedia; clean lexical and linguistic metrics.
cloudflare-dns.com,benign,Cloudflare 1.1.1.1,N/A,ALLOW,0,3.73,2.2,0.0,1,0.0,N/A,A,Authoritative Resolver (-0.140),Known DoH Provider (-0.080),Clean TLD (-0.030),Public DNS resolver and recursive gateway; recognized authority.
openai.com,benign,OpenAI Infrastructure,N/A,ALLOW,0,3.12,0.8,0.0,1,0.0,N/A,A,Tranco Top 100 (-0.120),Short Label Length (-0.050),Balanced Vowels (-0.040),AI research and inference endpoint; verified corporate entity.
apple.com,benign,Apple Inc.,N/A,ALLOW,0,2.95,1.67,0.0,1,0.0,N/A,A,Tranco Top 10 (-0.160),Short SLD (-0.050),Clean Structure (-0.040),Consumer tech and macOS/iOS ecosystem update gateway.
amazon.com,benign,Amazon.com Inc.,N/A,ALLOW,0,2.72,1.25,0.0,1,0.0,N/A,A,Tranco Top 10 (-0.160),Vowel Harmony (-0.050),High Domain Age (-0.060),Global e-commerce and retail platform.
azure.microsoft.com,benign,Microsoft Azure Cloud,N/A,ALLOW,0,3.58,1.43,0.0,2,0.0,N/A,A,Enterprise Cloud Whitelist (-0.150),Clean Subdomain (-0.040),Zero Digits (-0.030),Enterprise cloud computing portal; verified corporate endpoint.
